city,year,drought_risk_score,flood_risk_score,heatwave_risk_score,cyclone_risk_score,landslide_risk_score,composite_score,composite_category
Dehradun,2023,0.0,0.0,0.0,0.0,1.66,0.17,LOW
Gangtok,2015,0.0,0.0,0.0,0.0,86.62,8.66,LOW
Gangtok,2016,0.0,0.0,0.0,0.0,98.81,9.88,LOW
Gangtok,2017,0.0,0.0,0.0,0.0,86.62,8.66,LOW
Gangtok,2018,0.0,0.0,0.0,0.0,98.81,9.88,LOW
Gangtok,2019,0.0,0.0,0.0,0.0,98.81,9.88,LOW
Gangtok,2020,0.0,0.0,0.0,0.0,98.81,9.88,LOW
Gangtok,2021,0.0,0.0,0.0,0.0,98.81,9.88,LOW
Gangtok,2022,0.0,0.0,0.0,0.0,92.52,9.25,LOW
Gangtok,2023,0.0,0.0,0.0,0.0,97.9,9.79,LOW
Goa,2015,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2016,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2017,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2018,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2019,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2020,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2021,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2022,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Goa,2023,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Guwahati,2015,0.0,77.12,1.2,0.0,0.0,23.38,LOW
Guwahati,2016,0.0,12.19,1.2,0.0,0.0,3.9,LOW
Guwahati,2017,0.0,16.11,1.2,0.0,0.0,5.07,LOW
Guwahati,2018,0.0,91.27,1.2,0.0,0.0,27.62,MEDIUM
Guwahati,2019,0.0,7.59,1.2,0.0,0.0,2.52,LOW
Guwahati,2020,0.0,3.87,1.2,0.0,0.0,1.4,LOW
Guwahati,2021,0.0,1.45,1.2,0.0,0.0,0.68,LOW
Guwahati,2022,0.0,9.03,1.2,0.0,0.0,2.95,LOW
Guwahati,2023,0.0,11.77,1.2,0.0,0.0,3.77,LOW
Hyderabad,2015,88.96,1.33,6.96,0.0,0.0,24.03,LOW
Hyderabad,2016,92.97,3.29,90.89,0.0,0.0,42.41,MEDIUM
Hyderabad,2017,1.79,3.01,1.31,0.0,0.0,1.61,LOW
Hyderabad,2018,3.25,3.19,1.2,0.0,0.0,2.01,LOW
Hyderabad,2019,2.39,1.41,1.31,0.0,0.0,1.28,LOW
Hyderabad,2020,3.42,71.16,1.2,0.0,0.0,22.44,LOW
Hyderabad,2021,0.85,4.23,1.2,0.0,0.0,1.72,LOW
Hyderabad,2022,46.64,75.18,1.2,0.0,0.0,34.45,MEDIUM
Hyderabad,2023,18.21,67.34,1.2,0.0,0.0,24.99,LOW
Jaisalmer,2015,1.72,62.99,98.95,0.0,0.0,39.12,MEDIUM
Jaisalmer,2016,5.58,5.45,98.95,0.0,0.0,22.82,LOW
Jaisalmer,2017,2.76,9.39,98.95,0.0,0.0,23.3,LOW
Jaisalmer,2018,23.74,5.45,98.95,0.0,0.0,27.36,MEDIUM
Jaisalmer,2019,59.12,5.45,98.22,0.0,0.0,36.06,MEDIUM
Jaisalmer,2020,1.7,73.18,98.95,0.0,0.0,42.17,MEDIUM
Jaisalmer,2021,23.74,5.45,98.22,0.0,0.0,27.21,MEDIUM
Jaisalmer,2022,2.76,18.02,98.22,0.0,0.0,25.74,MEDIUM
Jaisalmer,2023,26.09,5.45,98.22,0.0,0.0,27.8,MEDIUM
Jodhpur,2015,1.89,25.16,98.87,0.0,0.0,27.79,MEDIUM
Jodhpur,2016,5.4,71.88,98.95,0.0,0.0,42.7,MEDIUM
Jodhpur,2017,19.39,81.28,98.95,0.0,0.0,49.02,MEDIUM
Jodhpur,2018,21.15,3.98,98.22,0.0,0.0,26.13,MEDIUM
Jodhpur,2019,71.81,17.25,98.22,0.0,0.0,42.77,MEDIUM
Jodhpur,2020,15.25,5.74,98.95,0.0,0.0,25.32,MEDIUM
Jodhpur,2021,1.81,2.12,11.8,0.0,0.0,3.45,LOW
